market_id	n	coverage	reason
42943983021313011557680009422326115292552120582240225374784850873376345974490	1938	0.646	no_open_10s
12990103344146789637745354787316681931050290069971967254506265222875194499140	1713	0.571	no_open_10s
7181432375884837265011647659154566734130262240702657636384946542204410100127	2398	0.7993333333333333	no_open_10s
114288921024709413190742020005135612102581787618011494718223746697015270925227	2380	0.7933333333333333	no_open_10s
62696350370414685286533392339717221826849230802601297545475954346410551353459	1825	0.6083333333333333	no_open_10s
103311482850512313182582865360998051958248056999734688503123023000553072966907	1824	0.608	no_open_10s
31356203450063708018389015597146628957536891059133669126063577152114886206501	1892	0.6306666666666667	no_open_10s
42518559540688710963059852019248918666939062802087517682731859716454987514482	1620	0.54	no_open_10s
80354988625033352408700791528406118234135847378721376711763800289068411397587	1771	0.5903333333333334	no_open_10s
53444105512392513391469880945706162115811009593997794119830448880202253646763	1919	0.6396666666666667	no_open_10s
114194581702073861638767071687151150786734105267487224650760521610270595312701	1647	0.549	no_open_10s
59702364478804743530217304657400722458241489189221466675173271753104782885396	2523	0.841	no_open_10s
94625623831138162147640441031182332227436133737378785339640392213676781025311	1391	0.46366666666666667	no_open_10s
69109288038919330826440915977882086113405250611377402245408421413394698955655	2154	0.718	no_open_10s
37393478540955495745968748274985778781314951480397331999297201903014606585399	2183	0.7276666666666667	no_open_10s
57093566046369501693634268323299804987394049586135846289005307820727016139289	2518	0.8393333333333334	no_open_10s
49373799064437022111556572700485219908534838217650442512577773704568062175075	2120	0.7066666666666667	no_open_10s
110983757003075950131385249882129650669159733975757487603192430151771541064121	2019	0.673	no_open_10s
75154138710476631596852854398978103417089974101773833118064592471227074555644	1896	0.632	no_open_10s
80638527971179843481458132025705821089929792695595408978323843813081854296470	2205	0.735	no_open_10s
9571782654374453175554389415014875754534955807782353350325897818347492097876	2297	0.7656666666666667	no_open_10s
13482414682000151334864595398901499980564945873856065137116272623647311045598	1972	0.6573333333333333	no_open_10s
7441932949612477759813714793677723419555804987712020053381636776769466812845	2096	0.6986666666666667	no_open_10s
115604978335134483163501938921981252015490342512247742521116329239876852782057	1580	0.5266666666666666	no_open_10s
55369701326588409213232876528599193551305557385230315748461043974044303901651	2042	0.6806666666666666	no_open_10s
85862972275700951129515427786800790996607097085388156699539425373980108511670	2402	0.8006666666666666	no_open_10s
13083097926473159371036423585967855796874429645889201298866930852116315564936	1774	0.5913333333333334	no_open_10s
8273418687904412151055900985740554685617622075060600878436200508652520930110	2783	0.9276666666666666	no_open_10s
98344745945745208565730553170602076950228015770627324904478820461320960108818	2612	0.8706666666666667	coverage_below_90pct
104672805921362799391026035406595433764318065802137158944808673896229168169718	2751	0.917	no_close_10s
61814347402482406760103016119973203826629074912698648668897129831350824123457	2607	0.869	no_close_10s
114908786352696920571925019701659375439509137157035556409806760078557331530240	2412	0.804	coverage_below_90pct
38440057824964032998227442457730859453158429555124082570984963397306014735237	2782	0.9273333333333333	no_open_10s
76771268454055070600838921681091575877524236974252169120137939291063487699220	2820	0.94	no_open_10s
4094129834804557775449143411557152223181619210598248652733400068860114794069	2150	0.7166666666666667	no_close_10s
2463395393029131696263912499896325236273700907632859297336236085510972315529	2588	0.8626666666666667	coverage_below_90pct
73214963651273154333867196137515732996221304025032378576588749234960793821645	2888	0.9626666666666667	no_open_10s
101781097020627338146520020782511499357851538945164749402390669254629129312018	1881	0.627	no_close_10s
61833158266682248806342406372696320946176714402145374453257175500191747319650	2892	0.964	no_open_10s
108024504633740272061626511272729610257001697905484765817596543568553870408267	2477	0.8256666666666667	coverage_below_90pct
67905451653685759563082608142228789088900843673661339535486882323991611300229	2878	0.9593333333333334	no_close_10s
44764523611047428075104822467637911842520777676626975087179447353789300330734	2661	0.887	coverage_below_90pct
22596943735444776404192945977650151136543888862366916019812614596024118799232	2396	0.7986666666666666	no_close_10s
112929789288450102313140660452993461607053074302913891793991786309170825402988	2723	0.9076666666666666	no_open_10s
4934806097696164395759980383996365391785113558460935418162196780395446667392	2623	0.8743333333333333	coverage_below_90pct
76467503106139392930140699408716815463488145000889025607270021104469650171577	2816	0.9386666666666666	no_open_10s
37776257308874790772187528643358389105650989087375689836345008819700021575125	1901	0.6336666666666667	no_close_10s
57933289304251990353482398723136487716570153282150420242173593313831133156386	2858	0.9526666666666667	no_open_10s
115279753735018649947897794464796517380198996161995103858305687147054856388422	1860	0.62	coverage_below_90pct
114703296974096344828862311892119549150763161309861621474392670816972737716420	2770	0.9233333333333333	no_open_10s
72008885287175266025929197201077152544512907357504916249045841091903722306248	1839	0.613	coverage_below_90pct
40066103585271977274305931953169913432889417090409558400887875343608880346884	1874	0.6246666666666667	no_close_10s
114184509612121611523265295021571112656553557178160723176885506214954168497511	1934	0.6446666666666667	no_close_10s
89948653687251476388751363799468011964517374140618606973784747538451688289680	2195	0.7316666666666667	no_close_10s
48256806871589662717806854201235367209878939765798906506800164813026476814947	2484	0.828	no_close_10s
38965035323291111171415423639700154843009047926133230525343342075392244748558	1481	0.49366666666666664	no_open_10s
